Jan;Fev;Mar;Apr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dec;Spring;Summer;Autumn;Winter;Advertising;Sales
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;15
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20.5;16
0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;21;18
0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;15.5;27
0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;15.3;21
0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;23.5;49
0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;24.5;21
0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;21.3;22
0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;23.5;28
0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;28;36
0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;24;40
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;15.5;3
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17.3;21
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25.3;29
0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;25;62
0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;36.5;65
0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;36.5;46
0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;29.6;44
0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;30.5;33
0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;28;62
0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;26;22
0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;21.5;12
0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;19.7;24
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;19;3
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;5
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20.7;14
0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;26.5;36
0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;30.6;40
0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;32.3;49
0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;29.5;7
0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;28.3;52
0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;31.3;65
0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;32.2;17
0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;26.4;5
0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;23.4;17
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;16.4;1